Aggiudicatari;Importi;Categorie
1;4430;3
2;9450;6
2;9835;7
4;15409;1
5;8265;39
6;10000;25
8;88800;27
9;4408;19
10;7922;1
11;12736;41
270;7500;18
13;2700;12
12;75822;27
3;9450;6
3;9835;7
3;8826;21
3;1454;5
3;33033;45
3;30000;40
3;24793;24
7;51582;41
15;3967;1
16;18784;2
2;8826;21
17;7388;14
18;19470;3
19;6180;1
65;1454;5
20;630;6
21;8609;6
22;3697;29
23;2532;28
24;446159;33
15;2459;36
25;6800;11
26;4104;29
27;3000;23
28;39438;39
29;17450;21
30;363;43
30;114;16
31;21347;29
32;5500;47
33;5736;43
34;62535;30
35;87865;26
29;144541;21
36;6452513;28
37;12295;15
38;873000;17
38;43500;27
39;631;35
21;65573;18
40;14248;2
41;6000;28
42;745;29
2;33033;45
43;9917;4
44;30000;33
2;30000;40
45;11190;23
2;24793;24
10;24793;43
46;24699;32
4;21854;14
47;2704;17
48;13000;10
49;14405;19
50;712;28
20;1600;8
51;2250;45
52;4990;23
53;8197;36
54;2450;42
19;3000;44
55;4455;47
56;3900;33
46;9000;23
57;2912;4
58;7320;2
59;3497;46
60;1639;46
58;10;41
52;18150;14
61;55450;16
62;1149;43
65;319;9
64;9900;23
45;7041;17
65;174600;45
45;8900;47
37;4957;12
66;24997;12
38;1300;8
67;836235;17
67;131450;35
68;454998;5
69;2200;14
70;5731;26
70;650;24
71;300;21
29;800;13
72;9383;39
73;11995;35
74;152;3
75;12757;28
65;8200;12
77;195089;30
78;6000;26
65;25000;16
78;10000;12
79;5000;24
52;190602;22
65;2200;28
81;34426;2
75;9600;42
82;7490;26
83;149213;30
81;151056;25
84;26963;34
85;12506;4
86;54347;40
87;9850;2
88;24484;46
89;6386;48
90;1552;29
91;8850;38
77;4132;44
92;32674;12
93;2959;1
94;3522;16
54;39030;26
54;8264;40
95;4985;42
95;9902;21
65;19548;24
65;86109;7
50;11062;33
98;30592;1
99;159000;37
100;37500;9
100;6362;33
100;10042;41
101;15118;23
47;5200;36
102;8500;35
103;5734;41
104;30000;46
105;20246;11
106;85000;35
107;433289;31
109;10000;17
110;19000;35
111;475;1
65;2090;24
112;9511;31
41;8000;11
113;7500;31
114;7200;19
115;36500;15
116;12280;12
117;9943;47
65;47500;41
118;23650;18
119;2982;35
37;5083;43
120;14994;8
121;9100;11
122;6000;45
123;76821;5
65;0;9
125;9114;17
47;9000;42
126;2890;1
127;3270;47
101;17100;17
65;1470;28
129;33000;20
130;23903;45
131;5800;46
76;195100;4
132;198451;5
133;190200;21
133;190200;30
82;190200;25
134;196080;13
79;192160;11
83;199020;41
78;198040;20
135;26808;46
136;2068;42
137;698;11
70;1116;13
138;1700;5
139;1403;15
65;1089;2
52;63988;1
140;14990;29
105;5000;18
105;30185;12
105;100000;37
141;25552;14
142;5188;9
101;116372;30
119;1045;4
